2022/10/17 09:48:49 [error] 31#31: *2 open() "/var/www/default.test/phpmyadmin" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /phpmyadmin HTTP/1.1", host: "default.test:8888"
2022/10/18 05:13:32 [error] 31#31: *1 open() "/var/www/default.test/favicon.ico" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /favicon.ico HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 05:29:42 [error] 35#35: *2 open() "/var/www/default.test/favicon.ico" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /favicon.ico HTTP/1.1", host: "sovhome.test:8888", referrer: "http://sovhome.test:8888/"
2022/10/18 10:07:38 [error] 34#34: *12 open() "/var/www/default.test/js/syntaxhighlighter/styles/shCore.css" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/styles/shCore.css HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:07:38 [error] 30#30: *14 open() "/var/www/default.test/js/syntaxhighlighter/styles/shThemeDefault.css" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/styles/shThemeDefault.css HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:07:38 [error] 30#30: *15 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shCore.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shCore.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:07:38 [error] 30#30: *16 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushPhp.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushPhp.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:07:38 [error] 30#30: *17 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushCss.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushCss.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:07:38 [error] 34#34: *12 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushJScript.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushJScript.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:07:38 [error] 30#30: *14 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushXml.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushXml.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:07:38 [error] 30#30: *15 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushJava.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushJava.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:07:38 [error] 30#30: *17 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushPython.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushPython.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:07:38 [error] 30#30: *16 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushPowerShell.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushPowerShell.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:07:38 [error] 35#35: *11 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushBash.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushBash.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:07:38 [error] 34#34: *12 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushSql.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushSql.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:07:38 [error] 30#30: *14 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushGroovy.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushGroovy.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:07:38 [error] 30#30: *15 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushKotlin.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushKotlin.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:07:38 [error] 30#30: *15 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushCss.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushCss.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:11:06 [error] 30#30: *20 open() "/var/www/default.test/js/syntaxhighlighter/styles/shCore.css" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/styles/shCore.css HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:11:06 [error] 30#30: *19 open() "/var/www/default.test/js/syntaxhighlighter/styles/shThemeDefault.css" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/styles/shThemeDefault.css HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:11:06 [error] 30#30: *22 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shCore.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shCore.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:11:06 [error] 30#30: *23 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushPhp.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushPhp.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:11:06 [error] 30#30: *24 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushCss.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushCss.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:11:06 [error] 30#30: *25 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushJScript.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushJScript.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:11:06 [error] 30#30: *22 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushXml.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushXml.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:11:06 [error] 30#30: *19 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushPython.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushPython.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
